key_tempo;invoice_date;Ano;Mes;Dia;Trimestre
245ccfae98c322e5b26e5edf3d3481c2cb02c6d5692ced2e43b559535a813bca;2018-03-14;2018;3;14;1
d3f2604d39fdc1f7a6d7f716d1b67a4b31d0eb424343fee6abdb7cccf0db0a95;2018-09-30;2018;9;30;3
0cae95ee7486f3cb4a4a789a563f8c063fb98b758337f48a5cd6566b544e18ef;2017-03-11;2017;3;11;1
b1983f73248e7f676a8ca754c363c965d5e8bf1781b2c44058dc56f640b1c4c4;2017-12-10;2017;12;10;4
90a9e51dc0e2ca6fab1849a0210a28c6480408e5e765d989eeb1bd7166582742;2018-09-08;2018;9;8;3
73101a2f0c3225db5fe4850fe394a8db021d23831ec2081b151a4f7d095633a2;2017-06-22;2017;6;22;2
29522a498c59ae26514b5aac28261653ee774e6aafc2c405e48f25ab4a0e029c;2018-08-14;2018;8;14;3
ed4e7521a9b7e443c7397be46aa222377cbd9f2425e281e22614a9f233883053;2018-01-08;2018;1;8;1
ffea18d8b3ce171df55d51751c6e0a244b4b2ca259ccb8f901703cfa49baf5a9;2019-02-11;2019;2;11;1
296858d12d9197bd08614acd2cc8d12c8647b9bd237f0462a983a53e58b17e77;2019-01-30;2019;1;30;1
879a42b77c89187a34fb4b89838bb88b27bed1e76cd3652b237769bb8f81c537;2018-05-07;2018;5;7;2
32b44df8dde0a4c242aeffba6dc70926039145efb664283d5356517f3f7d9d2e;2017-04-02;2017;4;2;2
34105ee90fb3bf672d11b63b7758cba985fc311ab603d4e2f24e0d607439a314;2018-04-16;2018;4;16;2
de232c6e25b5ca2abfd8a5e1d5e2e8480cf6fdc79d113ebd82b92fa9a1217625;2018-01-15;2018;1;15;1
7ad5698821fdaa443dbdb5ebaaf6fe590535ad325a857b9229a41e1567c247c3;2018-10-30;2018;10;30;4
a4ffdc5560c4fc932f1bcd977f58c2346fb38543ddc4b45cf225c7d2a9a653ee;2018-12-18;2018;12;18;4
846a26222bef99fb54eaa155fc39d0b388cd50fe89c1f62e5552d173e3c7d809;2018-01-10;2018;1;10;1
b727d05feeffd49a556864fa162dfdb8e51a9c2ce1ffd3b294fd9392b766daa4;2017-09-15;2017;9;15;3
a2b365b22cf87b578bfda84bfd3cbec6bda38e973341342f30034a9f68d0778e;2019-03-14;2019;3;14;1
f50bc8e691bae3ce64797e2cbeabd17f564f61a092f465f650dca5a0bf1d54bb;2018-11-18;2018;11;18;4
f4abda9e3307f4018eb9638c6c86bad85923d88f0392d8502c795bef81a2e411;2018-11-24;2018;11;24;4
a344eacb77ce25587d31640a769c80ba0d56e53b4b1c39964e9f4eb76243c45f;2017-03-25;2017;3;25;1
02e594fee6896ef047d347179dda84849d3fa5404bcb14c3e0a40ac63aea245e;2018-08-05;2018;8;5;3
22096b06456e2448a9b690214d274d5912ba0e5913c1245302d5f459c074fb68;2017-04-20;2017;4;20;2
c2a0b28fc450d2fc628a2e7f29f902ff00c245931449b3d331ad274affa76835;2019-03-07;2019;3;7;1
68b312d286b50e30c259bd56cc41addd269707610cac5bbb23f2e8095682f87d;2018-03-11;2018;3;11;1
b1ca3233387b6b3f0e8011b59922ef87a0d53dd7907712657f9cac491786de5e;2018-03-12;2018;3;12;1
54b858f369e4ddaa2bcf0256ecb2d0c9256da2fb7a0f0ce2cd67c0df69b1be6b;2018-09-17;2018;9;17;3
71bdf09eb343ce0811f4ee8f587c64021ac0bb589e206b62173a59de704b69af;2018-10-20;2018;10;20;4
d765a0d8e3d24e03becb6f9d8e3f6543c79fad26ef7f87f95e47faedd863078c;2019-01-01;2019;1;1;1
3ba5d04ff70ee9f1783db5542b01135c5d2036e2a4470adf07cc723e51af2148;2017-02-10;2017;2;10;1
43d8f6695b3e6fe277e7f90f221a2c6316d20b6e99f7a12716f0327b87c2f4ae;2018-06-23;2018;6;23;2
804c07292f23ad453e18e965063e0592cc90cb1bcd755e193c6b110f4ead1d57;2017-05-13;2017;5;13;2
